occupation_code,occupation_name,task_id,task_description,weight_category,weight_percentage,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,justification
2-02-23-02,染整工程技术人员,T009,整理行业技术文献资料,Ancillary,0.05,0.7,0.6,0.3,4,3,2,文献检索与摘要生成高度自动化，人类仅需做最终筛选。
2-02-23-02,染整工程技术人员,T010,归档实验数据与记录,Ancillary,0.05,0.8,0.5,0.2,4,3,2,数据录入与分类可完全由系统自动完成，人类仅需定期审计。
2-02-23-03,化学纤维工程技术人员,T001,Design polymerization process parameters,Primary,0.12,0.15,0.85,0.8,2,4,4,"AI can simulate reaction kinetics and optimize parameters, but final validation requires human judgment on safety and material properties."
2-02-23-03,化学纤维工程技术人员,T002,Oversee production line equipment operation,Primary,0.12,0.1,0.7,0.75,1,4,4,"Physical presence is needed for emergency response and equipment inspection, though AI monitors real-time data streams."
2-02-23-03,化学纤维工程技术人员,T003,Analyze fiber quality test data,Primary,0.12,0.4,0.9,0.6,3,5,3,"AI excels at pattern recognition in spectral data, but engineers interpret anomalies in context of production constraints."
2-02-23-03,化学纤维工程技术人员,T004,Resolve unexpected process failures,Primary,0.12,0.05,0.65,0.9,1,4,5,Unforeseen failures require creative troubleshooting and physical intervention that AI cannot autonomously execute.
2-02-23-03,化学纤维工程技术人员,T005,Formulate new product development strategies,Primary,0.12,0.1,0.75,0.85,1,4,4,"AI suggests material combinations, but strategic alignment with market needs and regulatory compliance requires human oversight."
2-02-23-03,化学纤维工程技术人员,T006,Conduct safety compliance inspections,Secondary,0.1,0.2,0.6,0.7,2,3,4,Visual inspection and physical verification of safety protocols still require human presence and authority.
2-02-23-03,化学纤维工程技术人员,T007,Document technical process modifications,Secondary,0.1,0.6,0.8,0.4,3,4,3,"Generative AI can draft technical reports and standardize documentation, reducing manual writing time significantly."
2-02-23-03,化学纤维工程技术人员,T008,Train junior technicians on equipment,Secondary,0.1,0.15,0.5,0.8,2,3,4,"While AI can provide tutorials, hands-on mentorship and safety culture transmission require human interaction."
2-02-23-03,化学纤维工程技术人员,T009,Manage supplier technical specifications,Ancillary,0.05,0.3,0.7,0.6,2,4,3,"AI can compare specs, but final negotiation and trust-building with suppliers remain human responsibilities."
2-02-23-03,化学纤维工程技术人员,T010,Archive historical production records,Ancillary,0.05,0.85,0.9,0.2,4,5,2,Digital archiving and retrieval are fully automatable with negligible human intervention required.
2-02-23-04,非织造工程技术人员,T001,设计非织造产品工艺方案,Primary,0.12,0.3,0.75,0.8,2,4,4,工艺设计需结合材料特性与设备限制，AI 可辅助模拟但无法独立处理复杂物理约束，需人类专家决策。
2-02-23-04,非织造工程技术人员,T002,开发新型非织造材料配方,Primary,0.12,0.25,0.7,0.85,2,4,4,材料创新依赖实验试错与直觉判断，AI 可加速筛选但无法替代物理实验验证与创造性构思。
2-02-23-04,非织造工程技术人员,T003,监控非织造生产线运行状态,Primary,0.12,0.4,0.85,0.7,3,4,4,AI 可实时监控数据并预警，但突发设备故障需人工介入处理，且需现场经验判断异常根源。
2-02-23-04,非织造工程技术人员,T004,执行非织造产品质量检测,Primary,0.12,0.5,0.9,0.6,3,5,3,自动化检测技术成熟，AI 可大幅提升检测精度与速度，但标准制定与异常样本复核仍需人工。
2-02-23-04,非织造工程技术人员,T005,解决非织造生产现场技术难题,Primary,0.12,0.2,0.65,0.85,2,4,4,现场问题具有高度非结构化特征，需结合经验与直觉进行快速决策，AI 难以完全替代人类判断。
2-02-23-04,非织造工程技术人员,T006,编制非织造工艺操作规范文档,Secondary,0.1,0.6,0.8,0.5,3,4,3,文档编写涉及大量语言组织，AI 可高效生成初稿，但技术准确性与合规性需人工审核。
2-02-23-04,非织造工程技术人员,T007,评估非织造设备运行效率,Secondary,0.1,0.55,0.75,0.65,3,4,4,数据分析与效率评估可由算法完成，但设备维护策略与成本效益分析需结合业务背景。
2-02-23-04,非织造工程技术人员,T008,协调跨部门技术改进项目,Secondary,0.1,0.35,0.6,0.8,2,3,4,跨部门协调涉及人际沟通与利益平衡，AI 无法处理复杂的人际信任构建与情感互动。
2-02-23-04,非织造工程技术人员,T009,整理非织造行业技术文献资料,Ancillary,0.05,0.7,0.85,0.4,4,4,3,文献检索与整理属于高重复性信息处理任务，AI 可完全接管并大幅提高效率。
2-02-23-04,非织造工程技术人员,T010,培训初级非织造操作人员,Ancillary,0.05,0.4,0.7,0.75,3,4,4,培训需根据学员反馈调整教学策略，AI 可辅助生成课件，但互动教学与情感支持需人工。
2-02-23-05,服装工程技术人员,T001,Analyze fabric properties and select materials,Primary,0.12,0.35,0.75,0.65,2,4,4,"AI can analyze material databases and predict performance, but human judgment is needed for tactile feel and aesthetic suitability."
2-02-23-05,服装工程技术人员,T002,Design garment construction processes and patterns,Primary,0.12,0.4,0.8,0.6,3,4,3,"Generative design tools can create patterns, yet complex structural engineering requires human oversight for fit and wearability."
2-02-23-05,服装工程技术人员,T003,Supervise production lines and troubleshoot technical issues,Primary,0.12,0.2,0.5,0.8,2,3,4,Physical presence is required to inspect real-time production and resolve unforeseen mechanical or material failures.
2-02-23-05,服装工程技术人员,T004,Evaluate product quality and enforce standards,Primary,0.12,0.3,0.7,0.7,2,4,4,"Computer vision can detect defects, but final quality acceptance often relies on human sensory evaluation and brand standards."
2-02-23-05,服装工程技术人员,T005,Coordinate design intent with manufacturing feasibility,Primary,0.12,0.25,0.65,0.75,2,4,4,Requires translating abstract design concepts into technical specifications through negotiation and iterative feedback.
2-02-23-05,服装工程技术人员,T006,Conduct market trend analysis for technical adaptation,Secondary,0.1,0.6,0.85,0.4,3,4,3,"AI excels at scraping and analyzing large datasets for trends, though human interpretation of cultural nuances remains key."
2-02-23-05,服装工程技术人员,T007,Document technical specifications and process manuals,Secondary,0.1,0.7,0.9,0.3,4,5,2,"Natural language generation can draft documentation efficiently, requiring only human verification for accuracy."
2-02-23-05,服装工程技术人员,T008,Train production staff on new techniques,Secondary,0.1,0.15,0.4,0.85,2,3,4,"Teaching complex physical skills requires human demonstration, empathy, and adaptive communication."
2-02-23-05,服装工程技术人员,T009,Archive project data and update technical libraries,Ancillary,0.05,0.85,0.95,0.15,4,5,2,Data entry and organization are highly automatable with minimal human intervention required.
2-02-23-05,服装工程技术人员,T010,Review and approve final sample prototypes,Ancillary,0.05,0.2,0.55,0.8,2,3,4,Final approval involves subjective aesthetic judgment and brand alignment that AI cannot fully replicate.
2-02-24-00,食品工程技术人员,T001,Design food processing parameters,Primary,0.12,0.3,0.85,0.75,2,4,4,"AI excels at optimizing parameters via simulation, but final validation requires human judgment on sensory qualities."
2-02-24-00,食品工程技术人员,T002,Conduct product quality testing,Primary,0.12,0.4,0.9,0.65,3,5,4,"Automated sensors handle physical testing efficiently, yet human oversight is needed for anomaly interpretation and regulatory compliance."
2-02-24-00,食品工程技术人员,T003,Develop new food formulations,Primary,0.12,0.25,0.7,0.8,2,4,4,"Generative models suggest ingredients, but human creativity and sensory evaluation are critical for consumer acceptance."
2-02-24-00,食品工程技术人员,T004,Analyze nutritional composition data,Primary,0.12,0.6,0.95,0.5,3,5,3,"AI can rapidly calculate and verify nutritional values, significantly reducing manual calculation time and error rates."
2-02-24-00,食品工程技术人员,T005,Make strategic production decisions,Primary,0.12,0.15,0.6,0.85,2,3,4,High-stakes decisions involving safety and market dynamics require human accountability and ethical judgment beyond algorithmic logic.
2-02-24-00,食品工程技术人员,T006,Coordinate with production teams,Secondary,0.1,0.2,0.5,0.8,2,3,4,"AI can schedule tasks, but resolving conflicts and motivating teams requires human emotional intelligence and negotiation."
2-02-24-00,食品工程技术人员,T007,Document technical compliance reports,Secondary,0.1,0.7,0.8,0.4,4,4,3,"Natural language generation can draft reports from structured data, though legal review remains a human responsibility."
2-02-24-00,食品工程技术人员,T008,Monitor equipment maintenance logs,Secondary,0.1,0.55,0.75,0.55,3,4,3,"Predictive maintenance algorithms can flag issues, but physical inspection and repair decisions often require human intervention."
2-02-24-00,食品工程技术人员,T009,Train junior staff on safety protocols,Ancillary,0.05,0.3,0.4,0.7,2,3,4,"AI can deliver training content, but mentoring and assessing practical safety application require human interaction."
2-02-24-00,食品工程技术人员,T010,Manage waste disposal procedures,Ancillary,0.05,0.45,0.6,0.55,3,3,3,"Automated sorting helps, but handling unexpected hazardous waste scenarios requires human adaptability and regulatory knowledge."
2-02-25-01,气象观测工程技术人员,T001,Execute automated meteorological data acquisition protocols,Primary,0.12,0.85,0.9,0.2,4,5,2,"Data acquisition is highly rule-based and easily automated by AI agents, though human oversight remains necessary for anomaly detection."
2-02-25-01,气象观测工程技术人员,T002,Perform physical calibration and maintenance of observation instruments,Primary,0.12,0.15,0.4,0.85,2,3,4,Physical manipulation of diverse hardware in unstructured environments requires human dexterity and situational judgment that robots currently lack.
2-02-25-01,气象观测工程技术人员,T003,Conduct rigorous quality control checks on raw meteorological datasets,Primary,0.12,0.6,0.75,0.4,3,4,3,"AI can detect statistical outliers efficiently, but human expertise is needed to interpret physical causes of data anomalies."
2-02-25-01,气象观测工程技术人员,T004,Diagnose and troubleshoot complex equipment failures in field conditions,Primary,0.12,0.1,0.5,0.9,1,3,5,"Troubleshooting requires physical inspection and adaptive problem-solving in unpredictable field environments, making full automation impossible."
2-02-25-01,气象观测工程技术人员,T005,Interpret meteorological patterns to generate technical observation reports,Primary,0.12,0.45,0.8,0.55,3,4,3,"AI can draft reports, but synthesizing complex atmospheric dynamics into actionable technical narratives requires human domain expertise."
2-02-25-01,气象观测工程技术人员,T006,Update and optimize observation system configuration parameters,Secondary,0.1,0.7,0.85,0.3,4,4,2,System configuration is largely algorithmic and can be significantly enhanced by AI-driven optimization algorithms.
2-02-25-01,气象观测工程技术人员,T007,Document equipment status and maintenance logs for regulatory compliance,Secondary,0.1,0.9,0.6,0.1,5,3,1,"Documentation is a clerical task easily handled by AI with high accuracy, requiring minimal human intervention."
2-02-25-01,气象观测工程技术人员,T008,Coordinate with meteorological forecasters to align observation needs,Secondary,0.1,0.3,0.5,0.7,2,3,4,"Coordination involves understanding specific forecast requirements and translating them into technical adjustments, requiring human communication."
2-02-25-01,气象观测工程技术人员,T009,Conduct safety inspections of observation site infrastructure,Ancillary,0.05,0.2,0.3,0.8,2,2,4,Safety inspections involve physical presence and liability judgment that cannot be fully delegated to autonomous systems.
2-02-25-01,气象观测工程技术人员,T010,Archive historical meteorological data for long-term research retrieval,Ancillary,0.05,0.95,0.4,0.05,5,3,1,Data archiving is a deterministic storage task that AI can execute with near-perfect reliability.
2-02-25-02,天气预报工程技术人员,T001,Analyze meteorological data,Primary,0.12,0.35,0.85,0.65,2,4,4,"AI excels at processing massive datasets (augmentation), but human judgment is needed to interpret anomalies and context (substitutivity low)."
2-02-25-02,天气预报工程技术人员,T002,Construct numerical forecast models,Primary,0.12,0.4,0.9,0.6,3,5,3,"Running models is highly automatable, yet parameter tuning and model selection require deep domain expertise."
2-02-25-02,天气预报工程技术人员,T003,Interpret weather patterns,Primary,0.12,0.3,0.75,0.7,2,4,4,"Pattern recognition is AI-strong, but synthesizing multi-source data into coherent narratives requires human intuition."
2-02-25-02,天气预报工程技术人员,T004,Formulate forecast products,Primary,0.12,0.45,0.8,0.55,3,4,3,"Drafting forecasts is easily augmented, but final validation against local conditions requires human oversight."
2-02-25-02,天气预报工程技术人员,T005,Issue weather warnings,Primary,0.12,0.2,0.6,0.8,2,3,4,"Issuing warnings carries legal and social liability, making full AI substitution impossible despite high automation potential."
2-02-25-02,天气预报工程技术人员,T006,Communicate forecast results,Secondary,0.1,0.5,0.7,0.5,3,4,3,"Text generation is high AI, but tone and urgency calibration for public safety require human nuance."
2-02-25-02,天气预报工程技术人员,T007,Coordinate emergency response,Secondary,0.1,0.15,0.4,0.85,2,3,4,"Coordination involves complex human negotiation and trust-building, which AI cannot fully replicate."
2-02-25-02,天气预报工程技术人员,T008,Maintain observation equipment,Secondary,0.1,0.25,0.3,0.45,2,2,3,"Physical maintenance requires manual dexterity and on-site troubleshooting, limiting AI substitution."
2-02-25-02,天气预报工程技术人员,T009,Document technical procedures,Ancillary,0.05,0.7,0.85,0.3,4,4,2,Documentation is highly text-based and easily generated or refined by AI with minimal human intervention.
2-02-25-02,天气预报工程技术人员,T010,Update system parameters,Ancillary,0.05,0.65,0.75,0.4,4,4,3,"Routine parameter updates follow strict protocols, making them highly automatable."
2-02-25-03,气候监测预测工程技术人员,T001,Operate climate monitoring instruments,Primary,0.12,0.15,0.85,0.9,2,4,5,"Physical presence and sensor calibration require human oversight, but AI significantly enhances data acquisition speed and anomaly detection."
2-02-25-03,气候监测预测工程技术人员,T002,Execute numerical weather prediction models,Primary,0.12,0.8,0.95,0.85,4,5,4,"AI can autonomously run complex models and optimize parameters, though human validation of boundary conditions remains critical."
2-02-25-03,气候监测预测工程技术人员,T003,Analyze historical climate data patterns,Primary,0.12,0.75,0.9,0.8,4,5,4,"Machine learning excels at pattern recognition in large datasets, reducing analysis time from weeks to hours."
2-02-25-03,气候监测预测工程技术人员,T004,Formulate climate risk assessment reports,Primary,0.12,0.6,0.8,0.75,3,4,4,"AI generates draft reports and visualizations, but human judgment is needed to contextualize risks for specific stakeholders."
2-02-25-03,气候监测预测工程技术人员,T005,Validate model outputs against ground truth,Primary,0.12,0.4,0.7,0.85,3,4,4,AI cannot fully trust its own hallucinations; human experts must verify physical plausibility of extreme events.
2-02-25-03,气候监测预测工程技术人员,T006,Interpret meteorological anomalies for public,Secondary,0.1,0.3,0.6,0.7,2,3,4,Translating technical data into public safety advice requires empathy and understanding of social context AI lacks.
2-02-25-03,气候监测预测工程技术人员,T007,Coordinate with emergency response teams,Secondary,0.1,0.2,0.5,0.8,2,3,4,Real-time negotiation and trust-building during crises rely on human authority and emotional intelligence.
2-02-25-03,气候监测预测工程技术人员,T008,Maintain equipment calibration logs,Secondary,0.1,0.7,0.4,0.3,4,3,2,"Routine logging is highly automatable, though occasional physical inspection is still required."
2-02-25-03,气候监测预测工程技术人员,T009,Document regulatory compliance procedures,Ancillary,0.05,0.85,0.6,0.4,4,3,3,Standardized documentation can be generated by AI with minimal human review for legal adherence.
2-02-25-03,气候监测预测工程技术人员,T010,Conduct professional training for juniors,Ancillary,0.05,0.1,0.3,0.6,1,2,3,Mentorship and tacit knowledge transfer require human interaction and cannot be fully replicated by AI.
2-02-25-04,气象服务工程技术人员,T001,Analyze meteorological data to generate forecast products,Primary,0.12,0.85,0.9,0.6,4,5,3,"Data processing and pattern recognition are highly automatable, though human oversight ensures accuracy for critical decisions."
2-02-25-04,气象服务工程技术人员,T002,Design disaster prevention strategies based on risk assessment,Primary,0.12,0.4,0.75,0.8,3,4,4,"AI can model scenarios, but strategic decision-making requires human judgment on socio-economic trade-offs."
2-02-25-04,气象服务工程技术人员,T003,Develop and deliver public meteorological education programs,Primary,0.12,0.3,0.65,0.85,2,4,4,"Public trust and emotional engagement require human presence, though AI can generate educational content."
2-02-25-04,气象服务工程技术人员,T004,Communicate complex weather risks to stakeholders and the public,Primary,0.12,0.25,0.7,0.9,2,4,5,"High language dependency allows AI drafting, but real-time adaptation and empathy building remain human strengths."
2-02-25-04,气象服务工程技术人员,T005,Innovate new meteorological service models for specific industries,Primary,0.12,0.35,0.8,0.75,2,4,4,"Creativity and market insight drive innovation, while AI provides data-driven feasibility analysis."
2-02-25-04,气象服务工程技术人员,T006,Monitor equipment status and perform routine system maintenance,Secondary,0.1,0.6,0.5,0.4,3,3,3,"Routine monitoring is automatable, but physical inspection and troubleshooting often require human intervention."
2-02-25-04,气象服务工程技术人员,T007,Evaluate the effectiveness of existing weather services,Secondary,0.1,0.55,0.6,0.5,3,3,3,"Data analysis can be automated, but interpreting qualitative feedback requires human context."
2-02-25-04,气象服务工程技术人员,T008,Collaborate with government agencies on emergency response protocols,Secondary,0.1,0.2,0.4,0.95,2,3,5,Inter-agency coordination and trust-building are deeply human processes that AI cannot fully replicate.
2-02-25-04,气象服务工程技术人员,T009,Document technical procedures and update service manuals,Ancillary,0.05,0.75,0.85,0.3,4,4,2,Documentation is highly text-based and easily generated or refined by AI with minimal human editing.
2-02-25-04,气象服务工程技术人员,T010,Conduct field observations to validate model predictions,Ancillary,0.05,0.15,0.3,0.5,2,2,3,Fieldwork involves physical presence and unpredictable environmental variables requiring human adaptability.
2-02-25-05,人工影响天气工程技术人员,T001,Analyze cloud physical data,Primary,0.12,0.35,0.85,0.75,2,4,4,"AI excels at processing massive meteorological datasets, but human interpretation of ambiguous cloud microphysics remains critical."
2-02-25-05,人工影响天气工程技术人员,T002,Design precipitation enhancement schemes,Primary,0.12,0.2,0.7,0.8,2,4,4,"AI can optimize parameters, yet final scheme design requires ethical judgment and local context integration only humans possess."
2-02-25-05,人工影响天气工程技术人员,T003,Command field operation execution,Primary,0.12,0.15,0.6,0.85,2,3,4,Real-time command requires authority and accountability that cannot be fully delegated to autonomous agents.
2-02-25-05,人工影响天气工程技术人员,T004,Monitor operational conditions,Primary,0.12,0.4,0.9,0.65,3,5,4,"Sensor data monitoring is highly automatable, though human oversight is needed to validate sensor anomalies."
2-02-25-05,人工影响天气工程技术人员,T005,Evaluate weather modification outcomes,Primary,0.12,0.3,0.75,0.7,2,4,4,"Post-operation analysis benefits from AI pattern recognition, but causal attribution requires expert scientific reasoning."
2-02-25-05,人工影响天气工程技术人员,T006,Coordinate with meteorological agencies,Secondary,0.1,0.25,0.5,0.75,2,3,4,Inter-agency coordination involves trust-building and negotiation that AI cannot fully replicate.
2-02-25-05,人工影响天气工程技术人员,T007,Maintain launch equipment systems,Secondary,0.1,0.45,0.65,0.6,3,4,3,"Routine equipment checks can be automated, but complex troubleshooting still requires human dexterity and intuition."
2-02-25-05,人工影响天气工程技术人员,T008,Document operational protocols,Secondary,0.1,0.6,0.8,0.5,3,4,3,Documentation is highly text-based and easily generated or refined by Generative AI tools.
2-02-25-05,人工影响天气工程技术人员,T009,Respond to emergency weather shifts,Ancillary,0.05,0.1,0.55,0.9,1,3,5,"Crisis response demands rapid, high-stakes decision-making under uncertainty, heavily reliant on human experience."
2-02-25-05,人工影响天气工程技术人员,T010,Train junior personnel,Ancillary,0.05,0.3,0.4,0.7,2,3,4,Mentoring involves emotional intelligence and tacit knowledge transfer that AI cannot effectively simulate.
2-02-25-06,防雷工程技术人员,T001,Conduct lightning risk assessments,Primary,0.12,0.35,0.85,0.65,2,4,4,"AI excels at processing historical weather data and simulating risk models, but human oversight is needed for site-specific contextual variables."
2-02-25-06,防雷工程技术人员,T002,Design lightning protection engineering systems,Primary,0.12,0.2,0.75,0.8,2,4,4,"Generative design tools can optimize layouts, yet final engineering decisions require liability acceptance and complex physical constraint integration."
2-02-25-06,防雷工程技术人员,T003,Execute on-site grounding resistance testing,Primary,0.12,0.15,0.4,0.85,2,3,4,Physical presence and manual operation of testing equipment on uneven terrain remain largely non-autonomous for current robotics.
2-02-25-06,防雷工程技术人员,T004,Interpret complex test data and generate compliance reports,Primary,0.12,0.6,0.9,0.4,3,5,3,"Natural language generation and data parsing are highly automatable, though legal certification still requires human signature."
2-02-25-06,防雷工程技术人员,T005,Make critical safety decisions during system failures,Primary,0.12,0.1,0.5,0.9,1,3,5,High-stakes liability and unpredictable emergency scenarios require human judgment and ethical accountability.
2-02-25-06,防雷工程技术人员,T006,Coordinate with construction teams on installation,Secondary,0.1,0.25,0.6,0.75,2,3,4,"AI can schedule and log, but resolving on-site conflicts and managing human team dynamics requires interpersonal negotiation."
2-02-25-06,防雷工程技术人员,T007,Verify equipment calibration and maintenance logs,Secondary,0.1,0.55,0.7,0.45,3,4,3,"Digital record verification is highly automatable, though physical inspection of hardware integrity remains partially manual."
2-02-25-06,防雷工程技术人员,T008,Document regulatory compliance for government audits,Secondary,0.1,0.7,0.8,0.3,4,4,2,"Text processing and standard alignment are easily handled by AI, reducing administrative burden significantly."
2-02-25-06,防雷工程技术人员,T009,Perform routine visual inspections of external components,Ancillary,0.05,0.4,0.5,0.6,3,3,3,"Computer vision can detect visible damage, but access to high-altitude or confined spaces often requires human dexterity."
2-02-25-06,防雷工程技术人员,T010,Update technical documentation with field observations,Ancillary,0.05,0.65,0.75,0.35,4,4,2,Data entry and document formatting are routine tasks easily augmented by AI assistants.
2-02-26-01,地震监测预测工程技术人员,T001,Operate seismic monitoring instruments,Primary,0.12,0.15,0.85,0.9,2,4,5,"Physical presence and hardware calibration require human oversight, but AI significantly enhances data acquisition stability and error detection."
2-02-26-01,地震监测预测工程技术人员,T002,Analyze seismic waveform data,Primary,0.12,0.4,0.95,0.8,3,5,4,"AI excels at pattern recognition in waveforms, yet human interpretation is needed to distinguish noise from genuine precursors."
2-02-26-01,地震监测预测工程技术人员,T003,Formulate earthquake prediction models,Primary,0.12,0.2,0.7,0.85,2,4,4,"Model construction relies on complex geological theories where AI provides simulation speed, but human strategic judgment defines the model's validity."
2-02-26-01,地震监测预测工程技术人员,T004,Interpret monitoring results for decision making,Primary,0.12,0.1,0.6,0.95,1,3,5,"Final decision-making carries legal and ethical liability that AI cannot assume, requiring human accountability and contextual judgment."
2-02-26-01,地震监测预测工程技术人员,T005,Maintain equipment integrity and calibration,Primary,0.12,0.05,0.4,0.95,1,3,5,Physical maintenance and troubleshooting of field equipment remain heavily dependent on human dexterity and situational awareness.
2-02-26-01,地震监测预测工程技术人员,T006,Document monitoring procedures and logs,Secondary,0.1,0.8,0.9,0.3,4,5,2,"Documentation is highly text-based and structured, making it easily automatable by Generative AI with minimal human review."
2-02-26-01,地震监测预测工程技术人员,T007,Coordinate with emergency response teams,Secondary,0.1,0.1,0.5,0.9,1,3,5,"Communication involves high-stakes trust building and emotional intelligence, which AI cannot authentically replicate in crisis scenarios."
2-02-26-01,地震监测预测工程技术人员,T008,Review geological literature and standards,Secondary,0.1,0.75,0.85,0.4,4,4,3,"Information retrieval and synthesis from literature are core strengths of current NLP models, reducing human research time significantly."
2-02-26-01,地震监测预测工程技术人员,T009,Verify data accuracy and anomaly detection,Ancillary,0.05,0.6,0.7,0.5,3,4,3,"Automated anomaly detection is effective, but final verification requires human intuition to rule out false positives in complex environments."
2-02-26-01,地震监测预测工程技术人员,T010,Report findings to regulatory authorities,Ancillary,0.05,0.7,0.6,0.4,4,3,3,"Report generation is text-heavy and follows strict templates, allowing AI to draft content while humans ensure compliance and tone."
2-02-26-02,地震应急救援工程技术人员,T001,Analyze seismic structural damage patterns,Primary,0.12,0.35,0.85,0.65,2,4,4,"AI excels at pattern recognition in structural data, but physical verification remains necessary for safety."
2-02-26-02,地震应急救援工程技术人员,T002,Coordinate on-site rescue operations,Primary,0.12,0.15,0.7,0.85,2,4,4,Human leadership and trust-building are critical in chaotic environments where AI lacks emotional intelligence.
2-02-26-02,地震应急救援工程技术人员,T003,Deploy search and rescue equipment,Primary,0.12,0.2,0.6,0.75,2,3,4,Physical manipulation of heavy machinery in unstable terrain requires human dexterity and judgment.
2-02-26-02,地震应急救援工程技术人员,T004,Formulate emergency response strategies,Primary,0.12,0.4,0.8,0.6,3,4,3,"AI can simulate scenarios rapidly, but final strategic decisions under uncertainty require human ethical judgment."
2-02-26-02,地震应急救援工程技术人员,T005,Communicate with disaster victims and families,Primary,0.12,0.1,0.5,0.9,1,3,5,High emotional sensitivity and trust-building are inherently human traits difficult to replicate with AI.
2-02-26-02,地震应急救援工程技术人员,T006,Monitor environmental safety conditions,Secondary,0.1,0.6,0.9,0.4,3,5,3,Sensor networks and AI can autonomously monitor gas levels and structural stability more efficiently than humans.
2-02-26-02,地震应急救援工程技术人员,T007,Document rescue process and outcomes,Secondary,0.1,0.75,0.85,0.25,4,4,2,Automated logging and report generation are highly automatable with current NLP and data processing tools.
2-02-26-02,地震应急救援工程技术人员,T008,Maintain emergency communication systems,Secondary,0.1,0.55,0.7,0.45,3,4,3,"AI can manage network routing, but physical repairs in damaged infrastructure often require human intervention."
2-02-26-02,地震应急救援工程技术人员,T009,Train junior rescue personnel,Ancillary,0.05,0.3,0.6,0.7,2,3,4,"Simulation training can be AI-driven, but mentorship and psychological assessment require human interaction."
2-02-26-02,地震应急救援工程技术人员,T010,Archive historical disaster data,Ancillary,0.05,0.9,0.95,0.1,5,5,1,Data archiving and retrieval are fully automatable with database management systems.
2-02-26-03,地震安全性评价工程技术人员,T001,Conduct field site investigations,Primary,0.12,0.15,0.4,0.85,2,3,4,"Requires physical presence and on-site judgment for geological sampling and equipment operation, limiting full AI substitution."
2-02-26-03,地震安全性评价工程技术人员,T002,Perform seismic hazard analysis,Primary,0.12,0.3,0.85,0.7,2,4,4,"AI excels at processing large seismic datasets and running complex simulation models, significantly boosting analytical speed."
2-02-26-03,地震安全性评价工程技术人员,T003,Calculate seismic parameters,Primary,0.12,0.45,0.9,0.6,3,5,3,Highly computational and formulaic; AI algorithms can perform calculations with higher precision and speed than manual methods.
2-02-26-03,地震安全性评价工程技术人员,T004,Formulate safety evaluation conclusions,Primary,0.12,0.2,0.5,0.8,2,3,4,Requires professional liability and ethical judgment to interpret ambiguous data and assume legal responsibility for safety conclusions.
2-02-26-03,地震安全性评价工程技术人员,T005,Draft technical evaluation reports,Primary,0.12,0.55,0.75,0.45,3,4,3,"AI can generate structured technical text and visualizations, though human review is needed for regulatory compliance and nuance."
2-02-26-03,地震安全性评价工程技术人员,T006,Coordinate with construction stakeholders,Secondary,0.1,0.1,0.3,0.9,1,2,5,"Involves complex negotiation, trust-building, and conflict resolution which AI cannot authentically replicate."
2-02-26-03,地震安全性评价工程技术人员,T007,Verify geological data accuracy,Secondary,0.1,0.25,0.6,0.75,2,3,4,"AI can flag anomalies, but human expertise is required to validate context-specific geological anomalies and sampling errors."
2-02-26-03,地震安全性评价工程技术人员,T008,Update regulatory compliance records,Secondary,0.1,0.6,0.7,0.4,3,4,3,Routine administrative tasks involving standard forms and checklists are highly automatable by AI agents.
2-02-26-03,地震安全性评价工程技术人员,T009,Maintain professional equipment,Ancillary,0.05,0.1,0.2,0.7,1,2,4,Physical maintenance of surveying and drilling equipment requires manual dexterity and situational awareness.
2-02-26-03,地震安全性评价工程技术人员,T010,Archive project documentation,Ancillary,0.05,0.8,0.6,0.2,4,3,2,Digital archiving and metadata tagging are fully automatable tasks with high efficiency gains from AI.
2-02-27-01,环境监测工程技术人员,T001,Execute field sampling of water and air,Primary,0.12,0.2,0.65,0.75,2,4,4,"Physical presence and manual handling of sampling equipment prevent full automation, but AI can optimize sampling paths and data logging."
2-02-27-01,环境监测工程技术人员,T002,Conduct laboratory analysis of samples,Primary,0.12,0.45,0.85,0.6,3,4,3,"Automated analyzers handle routine measurements, yet human oversight is required for calibration and anomaly detection."
2-02-27-01,环境监测工程技术人员,T003,Interpret monitoring data against standards,Primary,0.12,0.35,0.7,0.8,2,4,4,"AI can compare data to thresholds instantly, but contextual interpretation of regulatory compliance requires human judgment."
2-02-27-01,环境监测工程技术人员,T004,Prepare technical monitoring reports,Primary,0.12,0.6,0.9,0.5,3,5,3,"Generative AI excels at drafting structured reports from data, though final validation and legal responsibility remain with the engineer."
2-02-27-01,环境监测工程技术人员,T005,Evaluate environmental impact and risks,Primary,0.12,0.25,0.55,0.85,2,3,4,"Risk assessment involves complex, non-linear variables and ethical considerations that AI cannot fully resolve autonomously."
2-02-27-01,环境监测工程技术人员,T006,Calibrate and maintain monitoring instruments,Secondary,0.1,0.3,0.4,0.6,2,3,3,Physical maintenance requires dexterity and troubleshooting skills that current robotics struggle to replicate in unstructured environments.
2-02-27-01,环境监测工程技术人员,T007,Coordinate with regulatory agencies,Secondary,0.1,0.15,0.3,0.9,2,2,5,Negotiation and trust-building with government bodies rely heavily on human social intelligence and accountability.
2-02-27-01,环境监测工程技术人员,T008,Document field observations and anomalies,Secondary,0.1,0.5,0.75,0.5,3,4,3,"Voice-to-text and image recognition can automate documentation, but subjective judgment on what constitutes an anomaly remains human."
